bairro_id,preco_total,area,quartos,banheiros,vagas
20,1160,45,2,1,1
122,1510,57,2,1,1
2,2920,72,1,1,1
3,2130,70,2,1,1
120,1620,55,2,1,0
43,1821,55,2,1,1
7,4300,90,1,1,1
72,3057,95,3,2,0
2,1665,55,1,2,1
26,1280,35,0,1,0
71,2150,35,1,1,1
26,1620,28,0,1,1
26,1730,55,1,2,0
84,1765,65,2,1,1
134,1862,49,2,1,1
60,1180,45,2,1,2
26,1020,30,0,1,0
89,1800,50,2,1,1
15,1690,48,2,1,1
52,5440,92,3,2,1
89,2200,110,3,3,1
124,1540,33,0,0,1
60,1300,70,2,1,1
20,4990,285,6,5,4
134,1760,62,2,1,1
26,1150,21,0,1,0
26,1083,32,0,1,0
51,1200,65,2,1,1
40,1800,48,2,1,1
83,1760,64,2,1,1
129,2700,90,3,3,1
30,3227,67,2,2,1
20,1600,43,2,1,1
26,17000,600,0,0,0
20,1126,21,0,0,0
12,5650,94,2,3,1
2,3315,85,2,2,2
39,1474,55,2,1,1
26,1299,34,0,1,0
26,3740,90,0,2,0
61,2255,130,2,1,2
16,2420,100,3,3,2
67,3700,160,3,2,2
124,2286,61,2,2,1
26,1050,30,0,1,0
94,3200,170,3,3,3
76,1150,37,0,0,1
3,1800,50,2,1,1
90,1675,50,1,1,1
40,1900,55,2,2,1
92,1350,120,2,1,2
11,1700,150,2,1,0
102,1101,23,0,0,1
15,1835,50,2,1,1
89,1538,34,0,1,1
15,1720,48,2,1,1
59,19623,123,1,3,0
62,4200,75,0,3,3
7,5370,80,2,2,1
90,1536,93,2,2,1
124,1580,50,2,1,0
33,1250,42,2,1,1
83,1690,67,2,2,1
121,1220,74,2,1,1
83,1690,65,2,2,0
76,1027,45,1,1,1
30,3500,60,2,1,0
42,2607,50,1,1,0
69,2100,66,2,2,1
35,2147,52,2,2,1
33,850,43,2,1,1
12,5650,95,2,4,1
92,1150,60,2,1,1
40,1300,60,2,2,1
12,4315,37,0,1,1
75,1100,54,1,1,0
42,19115,280,4,5,1
20,1450,52,2,1,1
20,1442,62,3,1,1
72,2293,41,1,1,0
12,4000,85,2,1,1
79,2628,78,2,2,1
91,1800,43,0,0,0
69,1900,50,2,1,1
90,1600,110,2,1,1
26,875,250,0,10,0
20,1060,55,2,1,1
122,1851,117,2,1,1
124,1041,30,0,1,1
83,2965,127,2,4,1
43,2070,60,2,1,1
97,1220,53,1,1,2
23,4429,120,2,3,0
2,2340,70,2,1,0
89,1200,46,1,1,1
12,4830,104,3,3,2
11,1766,48,2,1,1
26,965,23,0,1,0
7,16500,320,4,6,5
30,50500,137,0,3,0
3,1900,50,2,1,1
92,1110,50,2,1,1
40,1716,69,2,2,1
134,2417,240,3,4,4
21,2259,272,3,2,1
26,2000,43,1,0,0
93,1220,60,2,1,1
68,8150,210,3,2,3
42,3000,70,2,2,0
26,1640,49,0,1,0
26,850,30,0,1,0
90,3609,274,3,2,1
60,1096,60,2,1,1
21,1500,50,2,1,1
121,2009,49,0,1,1
125,1310,50,2,1,1
62,3300,75,3,3,0
72,5600,65,2,2,1
2,4191,75,2,2,1
20,1206,46,2,1,1
64,1720,120,2,1,1
57,1250,45,1,1,1
30,3140,50,1,1,0
122,1503,50,2,1,1
20,1150,70,2,1,1
60,1100,50,2,1,1
89,1510,80,2,1,1
102,4407,84,2,2,2
83,1766,71,2,1,0
12,4578,91,2,3,1
83,2273,70,2,1,1
30,3856,85,2,1,1
48,2170,78,2,1,1
124,2570,90,2,1,0
47,1876,33,1,1,0
7,2708,58,2,1,1
62,2993,160,3,3,1
26,770,25,0,1,0
79,2225,82,3,1,1
12,3905,72,2,1,1
119,2035,50,2,1,1
134,2235,65,2,2,1
67,1700,75,2,1,1
7,1700,22,0,1,1
89,1010,20,0,1,1
40,1190,66,2,1,1
21,1032,82,2,1,1
20,1350,47,2,1,2
97,1103,61,2,2,1
30,1610,38,1,1,0
119,1140,42,2,1,1
68,5659,86,2,2,2
44,1530,34,0,0,1
124,2597,47,1,1,1
124,2728,77,3,2,1
43,1788,57,2,1,1
15,1832,52,2,2,1
21,1212,43,2,1,1
100,1200,65,2,1,1
89,2110,73,2,1,1
26,836,22,0,0,0
7,11200,120,3,3,3
42,3775,78,2,1,1
15,1420,50,2,1,1
60,2100,105,2,2,1
7,1230,27,0,1,1
83,1789,74,2,2,1
122,1500,74,2,1,1
102,2150,40,0,1,1
102,1650,31,0,0,1
44,1690,47,2,1,1
97,1791,66,2,2,1
97,1660,65,2,1,1
42,1540,37,1,1,0
54,1050,55,2,1,1
26,685,30,0,1,0
102,6200,115,2,2,0
90,1251,55,2,1,1
57,1160,60,2,1,1
76,1850,44,2,1,1
26,900,23,0,1,0
26,11130,293,0,3,0
30,4060,114,2,1,1
102,1100,27,0,1,1
104,1826,65,2,1,1
41,1620,60,2,1,1
102,2040,52,0,0,1
85,3009,93,2,1,1
40,1289,47,2,1,0
60,1360,45,2,1,1
43,2189,50,2,1,1
97,1741,64,2,3,1
62,1876,70,2,1,1
122,1300,65,2,1,1
126,1107,60,2,1,1
83,1950,63,3,1,1
26,1001,24,0,1,0
83,1146,50,2,1,1
