preco,condominio,endereço,area,quartos,vagas,banheiros
R$ 900 /mês,R$ 420,"Avenida Monsenhor Félix, Irajá",66 m²,2,1,1
R$ 800 /mês,R$ 800,"Avenida Rio Branco, Centro",46 m²,0,0,2
R$ 1.300 /mês,R$ 24,"Rua Santa Catarina, Santa Teresa",133 m²,1,0,1
R$ 850 /mês,R$ 250,"Rua Soldado Álvaro de Sousa Pereira, Anil",50 m²,2,0,2
R$ 1.100 /mês,R$ 250,"Avenida Lúcio Costa, Recreio Dos Bandeirantes",28 m²,0,0,0
R$ 800 /mês,R$ 300,"Rua Mora, Campo Grande",58 m²,2,1,1
R$ 700 /mês,R$ 299,"Travessa do Paço, Centro",34 m²,0,0,1
R$ 550 /mês,R$ 300,"Praça da Confederação Suíça, Del Castilho",45 m²,2,0,1
R$ 820 /mês,0,"Travessa Francisco Mateus, Pilares",75 m²,2,0,2
R$ 1.600 /mês,R$ 40,"Rua José Gomes Talarico, Vargem Pequena",45 m²,1,1,1
R$ 4.220 /mês,R$ 1.400,"Avenida Prefeito Dulcídio Cardoso, Barra da Tijuca",88 m²,3,1,2
R$ 1.000 /mês,R$ 802,"Avenida Marechal Rondon, Riachuelo",70 m²,2,1,2
R$ 1.800 /mês,R$ 550,"Avenida Maracanã, Tijuca",90 m²,2,1,1
R$ 1.200 /mês,R$ 100,"Estrada Intendente Magalhães, Campinho",70 m²,2,0,1
R$ 1.800 /mês,0,"Rua Esculapio, Campo Grande",130 m²,3,2,1
R$ 500 /mês,R$ 467,"Rua São Cristóvão, São Cristóvão",25 m²,0,1,1
R$ 850 /mês,R$ 150,"Rua da Pátria, Piedade",75 m²,2,0,1
R$ 4.000 /mês,R$ 880,"Rua Barão da Torre, Ipanema",60 m²,2,0,1
R$ 1.500 /mês,R$ 834,"Rua Barão de Mesquita, Grajaú",70 m²,2,1,1
R$ 3.600 /mês,R$ 2.250,"Avenida Pastor Martin Luther King Jr, Del Castilho",90 m²,0,3,3
R$ 2.200 /mês,R$ 1.870,"Avenida Armando Lombardi, Barra da Tijuca",100 m²,0,1,1
R$ 1.550 /mês,R$ 400,"Rua Vinte de Abril, Centro",34 m²,1,0,1
R$ 20.000 /mês,R$ 1.800,"Rua Projetada Quatro, Recreio Dos Bandeirantes",300 m²,4,3,5
R$ 777 /mês,R$ 300,"Avenida Ernani Cardoso, Cascadura",42 m²,2,0,1
R$ 1.274 /mês,R$ 90,"Rua da Capela, Piedade",65 m²,2,0,1
R$ 1.300 /mês,R$ 30,"Engenho Novo, Rio de Janeiro",90 m²,2,2,2
R$ 1.500 /mês,R$ 1.100,"Avenida Nilo Peçanha, Centro",36 m²,0,0,2
R$ 2.000 /mês,R$ 1.420,"Rua Justiniano da Rocha, Vila Isabel",120 m²,3,2,3
R$ 1.500 /mês,R$ 950,"Avenida Ayrton Senna, Barra da Tijuca",37 m²,0,1,1
R$ 1.394 /mês,R$ 700,"Rua Doutor Alfredo Barcelos, Olaria",75 m²,2,1,1
R$ 1.000 /mês,R$ 388,"Rua Professor Manuel Lima, Freguesia",60 m²,2,0,1
R$ 2.000 /mês,R$ 1.575,"Avenida das Américas, Barra da Tijuca",53 m²,0,1,1
R$ 200 /mês,R$ 546,"Rua Alcindo Guanabara, Centro",34 m²,0,0,1
R$ 550 /mês,R$ 460,"Avenida Presidente Vargas, Centro",21 m²,0,0,1
R$ 500 /mês,R$ 804,"Avenida Nelson Cardoso, Taquara",34 m²,0,1,1
R$ 1.200 /mês,R$ 100,"Rua Quiririm, Vila Valqueire",60 m²,2,0,1
R$ 1.998 /mês,0,"Estrada dos Bandeirantes, Vargem Pequena",53 m²,3,1,1
R$ 1.200 /mês,R$ 460,"Rua Luís Barbosa, Vila Isabel",48 m²,1,0,1
R$ 1.600 /mês,R$ 750,"Rua Odilon Araújo, Méier",76 m²,3,1,2
R$ 1.615 /mês,R$ 180,"Rua Boituva, São Cristóvão",50 m²,2,0,1
R$ 935 /mês,R$ 322,"Rua do Oriente, Santa Teresa",30 m²,1,0,1
R$ 1.100 /mês,R$ 450,"Rua Cândido Mendes, Glória",15 m²,1,1,1
R$ 1.360 /mês,0,"Rua Violante, Piedade",71 m²,2,0,1
R$ 4.000 /mês,R$ 742,"Rua do Ouvidor, Centro",66 m²,0,0,1
R$ 1.220 /mês,R$ 120,"Rua Henrique de Vasconcelos, Cachambi",60 m²,3,0,2
R$ 1.000 /mês,R$ 700,"Avenida Rio Branco, Centro",44 m²,0,0,0
R$ 1.300 /mês,R$ 640,"Rua Voluntários da Pátria, Botafogo",30 m²,0,1,1
R$ 1.350 /mês,R$ 530,"Rua Padre Francisco Lanna, Vila Isabel",63 m²,2,0,2
R$ 600 /mês,R$ 360,"Avenida Franklin Roosevelt, Centro",35 m²,0,0,1
R$ 5.500 /mês,R$ 1.108,"Rua Gilberto Cardoso, Leblon",82 m²,3,1,2
R$ 1.150 /mês,R$ 480,"Rua Arquias Cordeiro, Méier",72 m²,3,0,1
R$ 1.100 /mês,0,"Rua A, Cachambi",65 m²,2,0,1
R$ 930 /mês,0,"Rua do Outeiro, Andaraí",44 m²,1,1,1
R$ 760 /mês,R$ 160,"Rua Francisco Mota, Campo Grande",38 m²,2,1,1
R$ 500 /mês,R$ 537,"Centro, Rio de Janeiro",26 m²,0,0,1
R$ 1.200 /mês,R$ 563,"Rua Caico, Pechincha",87 m²,2,1,1
R$ 1.300 /mês,R$ 943,"Avenida das Américas, Barra da Tijuca",34 m²,0,1,1
R$ 650 /mês,R$ 470,"Rua Guilherme Marconi, Centro",28 m²,1,0,1
R$ 1.010 /mês,R$ 700,"Rua A, Taquara",51 m²,2,1,1
R$ 1.500 /mês,R$ 581,"Rua Miguel Ângelo, Cachambi",67 m²,2,0,2
R$ 700 /mês,R$ 639,"Centro, Rio de Janeiro",38 m²,0,0,1
R$ 1.500 /mês,R$ 375,"Avenida Geremário Dantas, Jacarepaguá",49 m²,0,0,1
R$ 800 /mês,R$ 590,"Rua Costa Bastos, Santa Teresa",42 m²,1,0,1
R$ 1.800 /mês,R$ 489,"Rua Araxá, Grajaú",88 m²,2,0,1
R$ 5.900 /mês,R$ 2.600,"São Conrado, Rio de Janeiro",250 m²,5,2,4
R$ 2.500 /mês,R$ 3.932,"Rua do Rosário, Centro",170 m²,0,0,2
R$ 700 /mês,R$ 650,"Avenida Rio Branco, Centro",32 m²,0,0,1
R$ 1.572 /mês,R$ 350,"Rua Francisco Bernardino, Engenho Novo",70 m²,2,0,1
R$ 2.500 /mês,R$ 54,"Rua Acre, Centro",200 m²,0,0,2
R$ 1.500 /mês,R$ 735,"Barra da Tijuca, Rio de Janeiro",29 m²,0,1,1
R$ 800 /mês,R$ 400,"Praça Condessa Paulo de Frontin, Rio Comprido",36 m²,1,0,1
R$ 400 /mês,R$ 850,"Centro, Rio de Janeiro",47 m²,0,0,1
R$ 680 /mês,R$ 500,"Rua Teixeira Franco, Ramos",50 m²,1,1,1
R$ 1.000 /mês,R$ 450,"Taquara, Rio de Janeiro",25 m²,0,0,1
R$ 300 /mês,R$ 300,"Avenida Presidente Vargas, Centro",15 m²,0,0,0
R$ 2.500 /mês,R$ 1.000,"Rua Bulhões de Carvalho, Copacabana",76 m²,2,0,1
R$ 500 /mês,R$ 150,"Guaratiba, Rio de Janeiro",18 m²,0,0,1
R$ 1.200 /mês,R$ 119,"Rua Joaquim Palhares, Praça da Bandeira",24 m²,0,0,1
R$ 200 /mês,R$ 1.089,"Avenida Rio Branco, Centro",33 m²,1,0,1
R$ 583 /mês,R$ 160,"Rua Francisco Mota, Campo Grande",38 m²,2,1,1
R$ 1.950 /mês,R$ 460,"Travessa Cunha Galvão, Freguesia- Jacarepaguá",72 m²,3,1,2
R$ 1.375 /mês,0,"Rua Marechal Bittencourt, Engenho Novo",55 m²,2,0,1
R$ 1.150 /mês,R$ 270,"Rua Americana, Cachambi",60 m²,1,0,1
R$ 700 /mês,R$ 600,"Rua Verna Magalhães, Engenho Novo",58 m²,2,1,1
R$ 1.000 /mês,R$ 23,"Rua Edgard Werneck, Freguesia- Jacarepaguá",48 m²,2,1,1
R$ 1.100 /mês,R$ 430,"Centro, Rio de Janeiro",40 m²,1,0,1
R$ 2.550 /mês,R$ 995,"Rua Pinheiro Machado, Laranjeiras",70 m²,2,0,2
R$ 1.000 /mês,R$ 555,"Avenida Presidente Vargas, Centro",52 m²,0,0,1
R$ 1.230 /mês,0,"Rua da Constança, Oswaldo Cruz",67 m²,2,0,2
R$ 1.200 /mês,R$ 675,"Avenida Olegário Maciel, Barra da Tijuca",24 m²,0,1,1
R$ 3.300 /mês,R$ 1.110,"Rua Voluntários da Pátria, Botafogo",115 m²,3,0,3
R$ 1.340 /mês,R$ 43,"Rua Caiabu, Irajá",100 m²,2,0,1
R$ 3.500 /mês,R$ 110,"Caminho do Veloso, Campo Grande",165 m²,4,1,4
R$ 600 /mês,R$ 563,"Rua Senador Dantas, Centro",33 m²,0,0,1
R$ 1.000 /mês,0,"Rua Padre Telêmaco, Cascadura",74 m²,2,0,1
R$ 5.630 /mês,R$ 209,"Estrada do Gabinal, Freguesia",372 m²,3,2,2
R$ 700 /mês,R$ 631,"Rua Miguel Couto, Centro",53 m²,0,0,1
R$ 756 /mês,R$ 650,"Avenida Passos, Centro",75 m²,2,0,1
R$ 756 /mês,R$ 630,"Avenida Marechal Rondon, Engenho Novo",76 m²,2,1,1
R$ 1.000 /mês,R$ 560,"Avenida Olof Palme, Barra da Tijuca",29 m²,0,1,1
R$ 4.885 /mês,R$ 1.510,"Rua do Humaitá, Humaitá",95 m²,2,1,2
R$ 2.500 /mês,R$ 550,"Praça Vereador Rocha Leão, Copacabana",50 m²,1,0,1
R$ 1.600 /mês,R$ 590,"Rua Figueiredo Magalhães, Copacabana",38 m²,1,0,1
R$ 1.266 /mês,R$ 585,"Avenida Augusto Severo, Centro",42 m²,2,0,1
R$ 290 /mês,R$ 614,"Rua Santa Luzia, Centro",30 m²,1,0,1
R$ 630 /mês,R$ 270,"Estrada do Campinho, Campo Grande",40 m²,2,1,1
R$ 1.135 /mês,0,"Rua Odete Lara, Campo Grande",40 m²,2,1,1
R$ 1.105 /mês,R$ 680,"Rua São Francisco Xavier, Vila Isabel",78 m²,2,1,1
R$ 5.900 /mês,R$ 1.250,"Rua Artur Possolo, Recreio Dos Bandeirantes",122 m²,2,2,2
R$ 3.500 /mês,R$ 212,"Avenida Marechal Rondon, Riachuelo",170 m²,0,8,1
R$ 1.615 /mês,R$ 750,"Rua Professor Castilho, Campo Grande",45 m²,2,1,2
R$ 6.500 /mês,R$ 2.200,"Rua Gomes Carneiro, Ipanema",140 m²,3,1,2
R$ 750 /mês,R$ 750,"Rua Alan Kardec, Engenho Novo",80 m²,2,1,1
R$ 1.020 /mês,R$ 650,"Rua Vinte e Quatro de Maio, Engenho Novo",60 m²,2,0,2
R$ 11.630 /mês,R$ 1.224,"Rua Eurico Melo, Barra da Tijuca",493 m²,4,2,6
R$ 850 /mês,R$ 670,"Rua José Silva, Pechincha",75 m²,2,1,1
R$ 2.100 /mês,R$ 650,"Rua Comendador Martinelli, Grajaú",88 m²,2,0,1
R$ 1.632 /mês,R$ 789,"Rua Conde de Bonfim, Tijuca",64 m²,2,1,2
R$ 2.950 /mês,R$ 735,"Rua Professor Gastão Bahiana, Copacabana",50 m²,2,0,1
R$ 1.500 /mês,R$ 856,"Rua Soares Cabral, Laranjeiras",86 m²,2,0,1
R$ 900 /mês,R$ 22,"Rua Aritiba, Realengo",80 m²,2,0,1
R$ 900 /mês,R$ 410,"Avenida Erasmo Braga, Centro",30 m²,1,0,1
R$ 1.700 /mês,R$ 600,"Rua Domingos Freire, Méier",90 m²,3,1,2
R$ 500 /mês,R$ 610,"Avenida Nelson Cardoso, Tanque",15 m²,0,1,1
R$ 1.000 /mês,R$ 303,"Rua Torres de Oliveira, Piedade",60 m²,3,0,1
R$ 1.100 /mês,R$ 140,"Rua Teixeira de Azevedo, Abolição",78 m²,2,0,2
R$ 3.200 /mês,R$ 750,"Copacabana, Rio de Janeiro",82 m²,2,0,3
R$ 1.275 /mês,0,"Rua Jorge Coelho, Penha",45 m²,2,0,1
R$ 20.000 /mês,R$ 1.475,"Gávea, Rio de Janeiro",547 m²,4,3,5
R$ 13.000 /mês,R$ 4.687,"Avenida Epitácio Pessoa, Lagoa",227 m²,3,3,1
R$ 1.000 /mês,R$ 420,"Avenida Erasmo Braga, Centro",30 m²,1,0,1
R$ 3.750 /mês,R$ 83,"Avenida João Ribeiro, Pilares",80 m²,2,1,2
R$ 1.360 /mês,0,"Rua Conselheiro Otaviano, Vila Isabel",85 m²,2,0,1
R$ 500 /mês,R$ 505,"Centro, Rio de Janeiro",35 m²,0,0,1
R$ 1.190 /mês,R$ 36,"Rua Angelina, Piedade",55 m²,2,0,1
R$ 1.500 /mês,R$ 690,"Rua Barão de Mesquita, Andaraí",66 m²,3,1,1
R$ 2.900 /mês,R$ 150,"Rua dos Romeiros, Penha",85 m²,0,0,2
R$ 1.200 /mês,R$ 1.000,"Rua Araújo Leitão, Engenho Novo",80 m²,2,1,1
R$ 200 /mês,0,"Lapa, Rio de Janeiro",10 m²,0,0,0
R$ 750 /mês,R$ 730,"Rua Equador, Santo Cristo",28 m²,0,1,0
R$ 4.000 /mês,R$ 980,"Rua A, Pechincha",274 m²,4,2,3
R$ 7.500 /mês,R$ 1.136,"Rua Jardim Botânico, Jardim Botânico",110 m²,2,1,3
R$ 700 /mês,R$ 230,"Estrada do Moinho, Campo Grande",45 m²,2,0,1
R$ 2.500 /mês,R$ 900,"Rua Barata Ribeiro, Copacabana",50 m²,1,0,1
R$ 985 /mês,R$ 1.167,"Avenida Nilo Peçanha, Centro",38 m²,0,0,1
R$ 1.248 /mês,R$ 400,"Rua Oito de Dezembro, Vila Isabel",105 m²,2,0,2
R$ 1.500 /mês,R$ 765,"Jardim Botânico, Rio de Janeiro",30 m²,0,1,0
R$ 1.250 /mês,R$ 400,"Rua Oito de Dezembro, Vila Isabel",105 m²,2,0,1
R$ 2.200 /mês,R$ 241,"Rua Joaquim Palhares, Praça da Bandeira",45 m²,0,0,2
R$ 850 /mês,R$ 995,"Avenida Evandro Lins e Silva, Barra da Tijuca",30 m²,0,1,1
R$ 2.500 /mês,R$ 600,"Rua da Matriz, Botafogo",102 m²,2,0,1
R$ 2.600 /mês,R$ 980,"Vargem Grande, Rio de Janeiro",95 m²,0,1,2
R$ 1.300 /mês,R$ 320,"Rua Fernando Leite Mendes, Recreio Dos Bandeirantes",30 m²,0,0,1
R$ 14.000 /mês,R$ 3.986,"Rua Conde de Bonfim, Tijuca",257 m²,0,11,6
R$ 900 /mês,R$ 530,"Rua D, Engenho De Dentro",55 m²,2,0,2
R$ 1.275 /mês,R$ 280,"Rua Laura de Araújo, Cidade Nova",40 m²,1,0,1
R$ 3.500 /mês,R$ 1.102,"Rua Barão da Torre, Ipanema",80 m²,2,1,1
R$ 900 /mês,R$ 270,"Rua Teixeira de Azevedo, Abolição",55 m²,1,0,1
R$ 1.050 /mês,R$ 557,"Rua São Brás, Todos os Santos",57 m²,2,0,1
R$ 700 /mês,R$ 690,"Rua Domingos Lópes, Cascadura",70 m²,2,1,1
R$ 900 /mês,R$ 847,"Avenida das Américas, Barra da Tijuca",43 m²,0,1,1
R$ 1.040 /mês,R$ 80,"Rua Francisco Venâncio Filho, Penha",45 m²,2,0,1
R$ 500 /mês,R$ 450,"Rua da Quitanda, Centro",29 m²,0,0,1
R$ 1.000 /mês,R$ 300,"Rua Paulo Moreira da Silva, Taquara",40 m²,1,1,1
R$ 700 /mês,R$ 606,"Avenida Almirante Júlio de Sá Bierrenbach, Jacarepaguá",25 m²,1,0,1
R$ 500 /mês,R$ 650,"Rua Capitão Félix, Benfica",54 m²,0,0,1
R$ 1.900 /mês,R$ 606,"Rua México, Centro",66 m²,0,0,0
R$ 1.100 /mês,R$ 1.000,"Rua A, Freguesia",62 m²,2,1,1
R$ 3.500 /mês,R$ 1.300,"Avenida Pepe, Barra da Tijuca",60 m²,1,1,1
R$ 2.500 /mês,R$ 920,"Rua da Cascata, Tijuca",89 m²,3,2,2
R$ 1.400 /mês,R$ 400,"Rua Campinas, Grajaú",70 m²,2,0,1
R$ 1.270 /mês,R$ 410,"Rua Doutor Bulhões, Engenho De Dentro",70 m²,3,0,2
R$ 1.000 /mês,R$ 270,"Estrada do Rio Grande, Taquara",67 m²,3,0,2
R$ 870 /mês,R$ 120,"Rua Sílvia, Piedade",59 m²,2,0,1
R$ 2.000 /mês,R$ 1.005,"Rua Professor Gabizo, Maracanã",105 m²,2,1,2
R$ 1.450 /mês,R$ 510,"Rua Cândido Mendes, Glória",54 m²,1,0,1
R$ 5.500 /mês,R$ 1.400,"Rua Armando Coelho de Freitas, Barra da Tijuca",289 m²,3,2,3
R$ 700 /mês,R$ 591,"Avenida das Américas, Barra da Tijuca",25 m²,0,0,0
R$ 700 /mês,R$ 270,"Rua Torres de Oliveira, Piedade",60 m²,2,0,1
R$ 1.000 /mês,R$ 1.100,"Avenida Rio Branco, Centro",35 m²,0,0,1
R$ 800 /mês,R$ 731,"Praça Floriano, Centro",36 m²,0,0,1
R$ 979 /mês,R$ 603,"Avenida Embaixador Abelardo Bueno, Barra da Tijuca",28 m²,0,1,1
R$ 1.200 /mês,R$ 800,"Rua da Assembléia, Centro",39 m²,0,0,0
R$ 1.300 /mês,R$ 300,"Estrada do Rio Grande, Taquara",72 m²,3,0,1
R$ 1.300 /mês,0,"Rua Pereira Landim, Ramos",65 m²,2,0,1
R$ 2.300 /mês,R$ 878,"Avenida Princesa Isabel, Copacabana",75 m²,2,0,1
R$ 500 /mês,R$ 1.055,"Avenida das Américas, Barra da Tijuca",29 m²,0,1,1
R$ 980 /mês,R$ 1.000,"Rua Cabo Herculano, Irajá",73 m²,2,1,1
R$ 750 /mês,R$ 468,"Avenida Geremário Dantas, Tanque",56 m²,2,0,1
R$ 800 /mês,R$ 460,"Rua Santa Clara, Copacabana",28 m²,0,0,1
R$ 1.340 /mês,R$ 885,"Avenida Treze de Maio, Centro",48 m²,1,0,1
R$ 2.800 /mês,R$ 1.100,"Rua Roberto Dias Lópes, Leme",80 m²,2,0,2
R$ 900 /mês,R$ 480,"Rua Amália, Quintino Bocaiúva",70 m²,2,0,1
R$ 1.000 /mês,R$ 100,"Caminho do Veloso, Campo Grande",16 m²,0,0,1
R$ 650 /mês,R$ 387,"Rua Ministro Gabriel de Piza, Pechincha",45 m²,2,0,1
R$ 800 /mês,R$ 700,"Rua Mapurari, Engenho De Dentro",66 m²,2,1,2
R$ 1.400 /mês,R$ 650,"Rua Barão de Mesquita, Grajaú",60 m²,2,0,1
R$ 1.700 /mês,R$ 400,"Rua Oliveira da Silva, Tijuca",67 m²,2,0,2
R$ 300 /mês,R$ 1.000,"Avenida Nossa Senhora de Copacabana, Copacabana",37 m²,0,0,1
R$ 1.300 /mês,R$ 180,"Rua Almirante Alexandrino, Santa Teresa",70 m²,2,0,1
R$ 1.100 /mês,R$ 650,"Rua Dias da Cruz, Méier",54 m²,1,0,2
R$ 600 /mês,R$ 300,"Rua da Quitanda, Centro",30 m²,0,0,1
R$ 1.150 /mês,R$ 650,"Rua Dias da Cruz, Méier",54 m²,2,0,2
R$ 1.200 /mês,R$ 1.150,"Rua do Ouvidor, Centro",50 m²,0,0,1
R$ 850 /mês,R$ 150,"Rua São Gabriel, Cachambi",45 m²,1,0,1
R$ 850 /mês,R$ 460,"Rua Santa Clara, Copacabana",28 m²,0,0,1
R$ 2.500 /mês,R$ 130,"Rua Tenente Vilas Boas, Tijuca",70 m²,3,1,1
R$ 3.580 /mês,R$ 1.588,"Avenida Epitácio Pessoa, Lagoa",95 m²,3,1,3
R$ 2.400 /mês,R$ 320,"Rua Borda do Mato, Grajaú",92 m²,0,0,0
R$ 950 /mês,R$ 526,"Rua Buenos Aires, Centro",26 m²,0,0,1
R$ 1.900 /mês,R$ 500,"Rua Gaspar Magalhães, Jardim Guanabara",136 m²,4,1,3
R$ 4.450 /mês,0,"Estrada do Pontal, Recreio Dos Bandeirantes",160 m²,3,2,3
R$ 800 /mês,0,"Estrada do Moinho, Campo Grande",40 m²,2,1,1
R$ 2.300 /mês,R$ 980,"Avenida das Américas, Barra da Tijuca",40 m²,0,1,1
R$ 1.300 /mês,0,"Rua Amália, Quintino Bocaiúva",62 m²,3,0,2
R$ 1.000 /mês,R$ 622,"Rua Conselheiro Agostinho, Todos os Santos",40 m²,2,1,1
R$ 700 /mês,R$ 350,"Rua Francisco Bernardino, Engenho Novo",54 m²,1,0,1
R$ 500 /mês,R$ 434,"Rua Lucidio Lago, Méier",32 m²,0,0,0
R$ 3.400 /mês,R$ 620,"Rua General Urquiza, Leblon",40 m²,2,1,1
R$ 950 /mês,0,"Rua Piaiba, Penha",84 m²,2,0,1
R$ 3.500 /mês,R$ 500,"Rua Engenheiro Pena Chaves, Jardim Botânico",115 m²,2,0,2
R$ 595 /mês,R$ 250,"Estrada do Mendanha, Campo Grande",45 m²,2,0,1
R$ 1.400 /mês,R$ 200,"Travessa Nestor Vítor, Tijuca",60 m²,2,8,1
R$ 1.656 /mês,0,"Rua do Carmo, Centro",72 m²,0,0,0
R$ 5.000 /mês,R$ 1.540,"Rua Fonte da Saudade, Lagoa",82 m²,2,1,4
R$ 4.800 /mês,R$ 209,"Rua Sericita, Freguesia",303 m²,4,2,4
R$ 1.100 /mês,0,"Caminho do Veloso, Campo Grande",44 m²,2,1,1
R$ 4.500 /mês,R$ 400,"Rua Sizenando Nabuco, Bonsucesso",478 m²,5,0,3
R$ 280 /mês,R$ 440,"Avenida Presidente Vargas, Centro",25 m²,0,0,1
R$ 3.500 /mês,R$ 645,"Laranjeiras, Rio de Janeiro",90 m²,2,0,2
R$ 1.800 /mês,R$ 950,"Rua Uruguai, Vila Isabel",67 m²,2,1,2
R$ 28.000 /mês,R$ 4.901,"Copacabana, Rio de Janeiro",563 m²,19,0,17
R$ 6.000 /mês,R$ 3.100,"Avenida Vieira Souto, Ipanema",190 m²,3,1,3
R$ 3.500 /mês,R$ 1.096,"Rua Macedo Sobrinho, Humaitá",83 m²,3,1,2
R$ 550 /mês,R$ 766,"Centro, Rio de Janeiro",39 m²,0,0,1
R$ 500 /mês,R$ 450,"Avenida Churchill, Centro",49 m²,0,0,1
R$ 1.130 /mês,R$ 690,"Rua Vítor Meireles, Engenho Novo",55 m²,2,1,1
R$ 1.300 /mês,R$ 250,"Rua Marquês de Pombal, Centro",42 m²,1,0,1
R$ 1.080 /mês,R$ 942,"Rua Vasco da Gama, Todos os Santos",80 m²,3,1,2
R$ 1.180 /mês,R$ 9,"Rua Xavier dos Pássaros, Piedade",45 m²,2,0,1
R$ 1.750 /mês,R$ 466,"Rua Enes de Sousa, Tijuca",45 m²,2,0,1
R$ 1.200 /mês,R$ 330,"Rua Teodoro da Silva, Vila Isabel",50 m²,1,0,1
R$ 1.400 /mês,R$ 940,"Avenida Presidente Wilson, Centro",67 m²,0,0,0
R$ 1.910 /mês,R$ 450,"Travessa Gonçalves, Tijuca",55 m²,2,0,1
R$ 800 /mês,0,"Avenida Treze de Maio, Centro",30 m²,0,0,0
R$ 1.000 /mês,R$ 630,"Avenida Dom Hélder Câmara, Abolição",72 m²,2,0,2
R$ 1.480 /mês,R$ 550,"Rua Paula Matos, Santa Teresa",60 m²,2,0,1
R$ 700 /mês,0,"Paciência, Rio de Janeiro",49 m²,0,0,2
R$ 935 /mês,R$ 420,"Rua Vinte de Abril, Centro",35 m²,1,0,1
R$ 1.840 /mês,R$ 915,"Rua Barão de São Francisco, Andaraí",119 m²,3,2,2
R$ 450 /mês,0,"Rua Buenos Aires, Centro",2 m²,0,0,0
R$ 1.500 /mês,R$ 100,"Rua Anália Franco, Vila Valqueire",75 m²,2,1,1
R$ 400 /mês,0,"Avenida Almirante Barroso, Centro",12 m²,0,1,0
R$ 250 /mês,R$ 200,"Rua Ceará, Praça da Bandeira",40 m²,1,0,1
R$ 4.800 /mês,R$ 1.633,"Avenida Bartolomeu Mitre, Leblon",105 m²,3,0,3
R$ 550 /mês,R$ 550,"Estrada do Galeão, Jardim Carioca",35 m²,1,0,1
R$ 2.800 /mês,R$ 385,"Avenida Nossa Senhora de Copacabana, Copacabana",30 m²,1,0,1
R$ 1.150 /mês,R$ 390,"Pechincha, Rio de Janeiro",23 m²,0,1,1
R$ 600 /mês,R$ 530,"Avenida Rio Branco, Centro",30 m²,0,0,1
R$ 700 /mês,R$ 500,"Praça Avaí, Méier",44 m²,1,1,1
R$ 807 /mês,0,"Rua Franz Liszt, Jardim América",45 m²,2,0,1
R$ 1.500 /mês,R$ 732,"Rua São Francisco Xavier, Tijuca",63 m²,2,0,2
R$ 1.100 /mês,R$ 375,"Rua Riachuelo, Centro",40 m²,1,0,1
R$ 550 /mês,R$ 580,"Rua Senador Dantas, Centro",32 m²,0,0,1
R$ 1.700 /mês,R$ 600,"Grajaú, Rio de Janeiro",70 m²,2,0,1
R$ 1.600 /mês,R$ 471,"Rua Silva Pinto, Vila Isabel",55 m²,2,0,1
R$ 750 /mês,R$ 290,"Rua dos Inválidos, Centro",21 m²,0,0,1
R$ 1.100 /mês,0,"Rua Doutor Manuel Cotrim, Engenho Novo",45 m²,1,1,1
R$ 1.700 /mês,R$ 650,"Rua Soares da Costa, Tijuca",72 m²,2,0,1
R$ 950 /mês,R$ 800,"Avenida Presidente Vargas, Centro",45 m²,0,0,1
R$ 3.500 /mês,R$ 1.350,"Avenida Ayrton Senna, Barra da Tijuca",79 m²,0,2,2
R$ 1.650 /mês,R$ 400,"Rua General Severiano, Botafogo",38 m²,1,0,0
R$ 637 /mês,R$ 120,"Rua Camaipi, Campo Grande",60 m²,2,0,1
R$ 875 /mês,R$ 90,"Praça A, Engenho Da Rainha",60 m²,2,0,1
R$ 1.699 /mês,R$ 365,"Rua Aristides Lobo, Rio Comprido",75 m²,2,0,1
R$ 560 /mês,R$ 820,"Avenida Treze de Maio, Centro",36 m²,0,0,1
R$ 1.100 /mês,R$ 300,"Rua do Rocha, Rocha",72 m²,3,0,2
R$ 7.200 /mês,R$ 1.250,"Rua Ramon Franco, Urca",160 m²,3,1,3
R$ 199 /mês,0,"Avenida das Américas, Barra da Tijuca",30 m²,0,0,0
R$ 1.610 /mês,0,"Rua Elisa de Albuquerque, Méier",75 m²,2,0,1
R$ 1.360 /mês,R$ 520,"Travessa A, São Cristóvão",60 m²,2,0,2
R$ 1.380 /mês,R$ 696,"Rua A, Taquara",70 m²,3,1,2
R$ 1.600 /mês,R$ 33,"Rua Mateus Silva, Pilares",100 m²,3,0,1
R$ 1.500 /mês,R$ 2.062,"Avenida Ministro Edgard Romero, Madureira",20 m²,0,0,0
R$ 1.800 /mês,R$ 770,"Avenida das Américas, Barra da Tijuca",40 m²,0,1,1
R$ 1.300 /mês,0,"Caminho do Veloso, Campo Grande",250 m²,3,0,2
R$ 400 /mês,R$ 537,"Rua Visconde de Inhaúma, Centro",35 m²,0,0,1
R$ 4.360 /mês,R$ 125,"Rua Engenheiro Adel, Tijuca",280 m²,7,2,3
R$ 1.000 /mês,R$ 725,"Rua Visconde de Tocantins, Méier",62 m²,2,1,1
R$ 1.400 /mês,R$ 504,"Rua Antônio Pinto da Mota, Tijuca",52 m²,2,0,1
R$ 1.111 /mês,R$ 500,"Rua Thompson Flores, Méier",62 m²,2,0,2
R$ 1.500 /mês,R$ 880,"Centro, Rio de Janeiro",67 m²,0,0,2
R$ 2.300 /mês,R$ 1.582,"Avenida das Américas, Barra da Tijuca",50 m²,1,1,1
R$ 7.000 /mês,R$ 3.970,"Avenida Beira-Mar, Centro",244 m²,0,0,5
