preco,condominio,endereço,area,quartos,vagas,banheiros
R$ 900 /mês,R$ 490,"Tijuca, Rio de Janeiro",34 m²,1,0,1
R$ 2.500 /mês,R$ 980,"Rua Dona Mariana, Botafogo",74 m²,2,2,1
R$ 1.100 /mês,R$ 400,"Rua Mário Calderaro, Engenho De Dentro",93 m²,2,1,3
R$ 1.900 /mês,R$ 479,"Praça André Rebouças, Maracanã",75 m²,2,0,2
R$ 2.500 /mês,R$ 50,"Rua Carvalho Alvim, Tijuca",72 m²,2,0,1
R$ 1.900 /mês,0,"Avenida Dom Hélder Câmara, Cachambi",57 m²,2,1,2
R$ 4.000 /mês,R$ 360,"Praia do Flamengo, Flamengo",35 m²,1,0,1
R$ 700 /mês,R$ 190,"Santíssimo, Rio de Janeiro",49 m²,2,1,1
R$ 2.500 /mês,R$ 841,"Rua Vicente Leporace, Recreio Dos Bandeirantes",115 m²,3,3,2
R$ 1.000 /mês,R$ 129,"Rua Juranda, Curicica",120 m²,2,0,1
R$ 1.300 /mês,0,"Caminho do Veloso, Campo Grande",100 m²,2,4,2
R$ 2.270 /mês,R$ 1.800,"Avenida Epitácio Pessoa, Lagoa",50 m²,1,1,1
R$ 1.500 /mês,R$ 940,"Rua Uruguai, Tijuca",75 m²,2,1,2
R$ 1.800 /mês,R$ 513,"Rua Retiro dos Artistas, Pechincha",65 m²,2,1,2
R$ 3.600 /mês,R$ 1.300,"Rua Clarice Índio do Brasil, Botafogo",94 m²,2,1,2
R$ 1.000 /mês,R$ 378,"Rua André Rocha, Taquara",24 m²,0,1,1
R$ 1.500 /mês,R$ 598,"Rua Teodoro da Silva, Vila Isabel",70 m²,1,1,2
R$ 1.100 /mês,R$ 747,"Rua São Francisco Xavier, São Francisco Xavier",63 m²,3,1,1
R$ 1.200 /mês,0,"Estrada Roberto Burle Marx, Guaratiba",100 m²,2,1,1
R$ 2.950 /mês,R$ 445,"Rua João Alfredo, Tijuca",112 m²,3,1,2
R$ 2.500 /mês,R$ 866,"Rua Rainha Guilhermina, Leblon",44 m²,1,0,1
R$ 2.000 /mês,R$ 365,"Rua das Laranjeiras, Laranjeiras",38 m²,1,1,1
R$ 30.000 /mês,R$ 13.728,"Rua Tiboim, Penha",1161 m²,0,0,0
R$ 1.400 /mês,R$ 352,"Rua Barata Ribeiro, Copacabana",27 m²,0,0,1
R$ 1.000 /mês,R$ 817,"Rua Adriano, Méier",53 m²,2,1,2
R$ 1.000 /mês,R$ 836,"Rua Venâncio Ribeiro, Engenho De Dentro",73 m²,2,1,1
R$ 1.430 /mês,R$ 495,"Praça Seca, Rio de Janeiro",64 m²,2,1,2
R$ 1.280 /mês,R$ 535,"Rua Riachuelo, Centro",55 m²,2,0,2
R$ 1.300 /mês,R$ 666,"Avenida Embaixador Abelardo Bueno, Barra da Tijuca",60 m²,2,1,1
R$ 1.500 /mês,R$ 330,"Avenida Passos, Centro",29 m²,0,0,1
R$ 1.650 /mês,R$ 600,"Rua Professor Henrique Costa, Pechincha",68 m²,2,1,2
R$ 1.300 /mês,R$ 351,"Rua Torres Homem, Vila Isabel",60 m²,1,1,1
R$ 5.000 /mês,R$ 4.169,"Rua do Carmo, Centro",225 m²,0,0,3
R$ 3.350 /mês,R$ 1.920,"Avenida Rio Branco, Centro",99 m²,0,0,0
R$ 2.200 /mês,R$ 560,"Rua Visconde de Abaeté, Vila Isabel",91 m²,2,2,2
R$ 3.900 /mês,R$ 656,"Anil, Rio de Janeiro",137 m²,3,1,2
R$ 2.200 /mês,R$ 815,"Rua Cândido Mendes, Glória",82 m²,2,1,2
R$ 1.350 /mês,R$ 551,"Rua Barata Ribeiro, Copacabana",60 m²,0,0,2
R$ 1.700 /mês,R$ 82,"Rua E, Engenho De Dentro",100 m²,2,2,1
R$ 1.750 /mês,R$ 500,"Rua Orestes Barbosa, Jardim Guanabara",78 m²,2,1,2
R$ 1.900 /mês,R$ 570,"Rua Belarmino de Matos, Irajá",90 m²,2,1,1
R$ 2.200 /mês,R$ 855,"Rua Almirante Baltazar, São Cristóvão",83 m²,3,1,1
R$ 1.800 /mês,0,"Rua Vereador Alexandrino Soares, Irajá",75 m²,2,1,1
R$ 1.200 /mês,R$ 400,"Rua General Ivo Soares, Taquara",55 m²,2,1,1
R$ 2.850 /mês,R$ 750,"Avenida Henrique Dumont, Ipanema",48 m²,1,0,1
R$ 1.300 /mês,R$ 485,"Avenida Meriti, Vila da Penha",70 m²,2,1,2
R$ 13.000 /mês,R$ 8.664,"Rua São José, Centro",447 m²,0,0,7
R$ 3.100 /mês,R$ 65,"Rua Artur Menezes, Maracanã",80 m²,2,0,2
R$ 2.200 /mês,R$ 925,"Rua das Palmeiras, Botafogo",50 m²,1,1,2
R$ 1.600 /mês,R$ 485,"Rua General Roca, Tijuca",60 m²,2,1,1
R$ 1.300 /mês,R$ 440,"Rua Cruz e Sousa, Piedade",54 m²,1,1,1
R$ 2.200 /mês,R$ 400,"Rua A, Pechincha",55 m²,2,1,2
R$ 1.980 /mês,R$ 750,"Rua Serrão, Jardim Guanabara",80 m²,3,1,3
R$ 704 /mês,R$ 246,"Estrada do Pre, Campo Grande",52 m²,2,1,1
R$ 900 /mês,R$ 635,"Avenida José Silva de Azevedo Neto, Barra da Tijuca",21 m²,0,1,1
R$ 1.000 /mês,R$ 560,"Rua Piauí, Todos os Santos",55 m²,2,1,1
R$ 1.300 /mês,R$ 500,"Estrada Japore, Jardim Sulacap",66 m²,2,1,2
R$ 1.400 /mês,R$ 340,"Rua Pojuca, Ribeira",65 m²,2,1,1
R$ 680 /mês,R$ 320,"Caminho do Veloso, Campo Grande",60 m²,2,1,1
R$ 1.400 /mês,R$ 590,"Avenida Salvador Allende, Jacarepaguá",51 m²,2,1,1
R$ 2.000 /mês,R$ 600,"Rua Santa Clara, Copacabana",45 m²,1,0,1
R$ 650 /mês,R$ 582,"Rua Dois de Fevereiro, Encantado",35 m²,1,1,1
R$ 1.200 /mês,R$ 360,"Rua Bispo Lacerda, Del Castilho",60 m²,2,1,2
R$ 2.750 /mês,R$ 740,"Rua Dias Ferreira, Leblon",45 m²,1,0,1
R$ 3.600 /mês,R$ 1.428,"Rua Batista da Costa, Lagoa",95 m²,2,1,1
R$ 30.000 /mês,R$ 5.700,"Avenida Vieira Souto, Ipanema",330 m²,4,3,5
R$ 2.420 /mês,0,"Cordovil, Rio de Janeiro",60 m²,0,0,1
R$ 14.000 /mês,R$ 4.337,"Ipanema, Rio de Janeiro",205 m²,3,2,3
R$ 1.200 /mês,R$ 310,"Rua Castorino Francisco Nunes, Pitangueiras",45 m²,2,1,1
R$ 1.500 /mês,R$ 537,"Rua Fortunato de Brito, Freguesia- Jacarepaguá",66 m²,2,1,1
R$ 1.900 /mês,R$ 750,"Rua Araguaia, Freguesia",79 m²,2,1,3
R$ 700 /mês,R$ 350,"Rua México, Centro",33 m²,0,0,1
R$ 2.500 /mês,R$ 650,"Rua Bom Retiro, Jardim Guanabara",120 m²,3,1,3
R$ 2.100 /mês,R$ 585,"Avenida Nossa Senhora de Copacabana, Copacabana",47 m²,1,1,1
R$ 3.500 /mês,R$ 300,"Rua Presidente Alfonso López, Lagoa",78 m²,2,0,2
R$ 1.012 /mês,R$ 388,"Estrada do Colégio, Colégio",50 m²,2,1,1
R$ 1.210 /mês,R$ 499,"Rua Albano, Praça Seca",60 m²,2,1,2
R$ 1.000 /mês,R$ 462,"Rua A, Taquara",55 m²,2,1,2
R$ 1.200 /mês,R$ 705,"Rua São Francisco Xavier, São Francisco Xavier",56 m²,2,1,2
R$ 2.000 /mês,R$ 550,"Rua Raimundo Correia, Copacabana",47 m²,1,0,2
R$ 1.800 /mês,0,"Rua João Cirilo de Oliveira, Campo Grande",150 m²,2,2,2
R$ 1.900 /mês,R$ 1.008,"Rua Engenheiro Enaldo Cravo Peixoto, Tijuca",73 m²,2,1,3
R$ 1.600 /mês,R$ 725,"Rua Fábio Luz, Méier",68 m²,2,1,1
R$ 1.000 /mês,R$ 610,"Estrada do Tindiba, Taquara",100 m²,2,1,1
R$ 2.200 /mês,R$ 109,"Rua Meira de Vasconcelos, Grajaú",120 m²,2,0,2
R$ 1.600 /mês,R$ 650,"Rua Orestes Rosolia, Jardim Guanabara",78 m²,2,1,2
R$ 2.500 /mês,R$ 900,"Rua Professor Gabizo, Tijuca",70 m²,2,1,3
R$ 2.400 /mês,R$ 1.100,"Rua Jornalista Henrique Cordeiro, Barra da Tijuca",90 m²,3,1,2
R$ 1.300 /mês,R$ 361,"Rua Monclaro Mena Barreto, Vila Valqueire",67 m²,2,2,2
R$ 20.000 /mês,R$ 4.239,"Rua Visconde de Inhaúma, Centro",640 m²,0,8,3
R$ 10.500 /mês,R$ 5.600,"Barra da Tijuca, Rio de Janeiro",202 m²,0,7,1
R$ 700 /mês,R$ 370,"Avenida Geremário Dantas, Pechincha",25 m²,0,1,1
R$ 1.375 /mês,0,"Rua Embu-Guaçu, Campo Grande",80 m²,3,2,2
R$ 3.800 /mês,R$ 224,"Avenida Gaspar de Lemos, Guaratiba",180 m²,4,1,3
R$ 1.300 /mês,R$ 650,"Rua Ferreira Pontes, Andaraí",80 m²,2,1,2
R$ 900 /mês,R$ 748,"Rua São Francisco Xavier, Maracanã",65 m²,2,1,2
R$ 2.500 /mês,R$ 850,"Avenida das Américas, Barra da Tijuca",50 m²,0,1,0
R$ 1.300 /mês,0,"Rua Clara Nunes, Madureira",80 m²,2,0,1
R$ 2.000 /mês,R$ 125,"Praça Seca, Rio de Janeiro",100 m²,3,1,1
R$ 1.383 /mês,R$ 350,"Rua Barbosa da Silva, Engenho Novo",65 m²,2,1,2
R$ 2.200 /mês,R$ 500,"Rua da Passagem, Botafogo",47 m²,1,1,1
R$ 2.700 /mês,R$ 729,"Rua Barata Ribeiro, Copacabana",84 m²,2,0,1
R$ 500 /mês,R$ 750,"Rua Buenos Aires, Centro",28 m²,0,0,1
R$ 2.700 /mês,R$ 894,"Avenida Ruy Antunes Correa, Barra da Tijuca",70 m²,2,1,2
R$ 1.300 /mês,R$ 798,"Rua Luís Barbosa, Vila Isabel",81 m²,2,1,3
R$ 6.000 /mês,R$ 1.930,"Rua Prudente de Morais, Ipanema",91 m²,2,1,3
R$ 2.100 /mês,R$ 545,"Rua Baltazar Lisboa, Vila Isabel",55 m²,2,1,2
R$ 1.600 /mês,R$ 80,"Estrada do Mendanha, Campo Grande",134 m²,3,1,3
R$ 1.150 /mês,R$ 410,"Rua General Roca, Tijuca",45 m²,1,1,1
R$ 3.600 /mês,R$ 1.300,"Botafogo, Rio de Janeiro",94 m²,2,1,2
R$ 900 /mês,R$ 406,"Rua Vinte e Quatro de Maio, Sampaio",49 m²,2,1,1
R$ 1.200 /mês,R$ 221,"Rua Almirante Calheiros da Graça, Méier",83 m²,2,1,1
R$ 5.500 /mês,R$ 514,"Rua Jurupari, Tijuca",155 m²,1,0,2
R$ 8.000 /mês,R$ 2.726,"Rua Dezenove de Fevereiro, Botafogo",283 m²,0,0,2
R$ 3.000 /mês,R$ 330,"Penha, Rio de Janeiro",97 m²,0,0,2
R$ 4.300 /mês,0,"Avenida Prefeito Dulcídio Cardoso, Barra da Tijuca",100 m²,3,2,3
R$ 2.835 /mês,R$ 765,"Rua Barão de Mesquita, Tijuca",70 m²,2,1,2
R$ 780 /mês,R$ 260,"Rua Severino Ferreira da Costa, Campo Grande",52 m²,2,2,1
R$ 4.200 /mês,R$ 1.324,"Rua Clarice Índio do Brasil, Botafogo",101 m²,2,1,3
R$ 2.830 /mês,R$ 750,"Rua Cândido Mendes, Glória",75 m²,2,1,2
R$ 3.000 /mês,R$ 997,"Rua da Passagem, Botafogo",73 m²,2,1,2
R$ 500 /mês,R$ 333,"Rua Araguaia, Freguesia- Jacarepaguá",27 m²,0,0,1
R$ 1.700 /mês,0,"Estrada do Vidigal, Vidigal",50 m²,1,1,1
R$ 1.600 /mês,0,"Rua Lírio do Vale, Campo Grande",80 m²,2,1,2
R$ 650 /mês,R$ 63,"Caminho do Veloso, Campo Grande",69 m²,2,0,1
R$ 2.725 /mês,R$ 900,"Avenida Tim Maia, Recreio Dos Bandeirantes",81 m²,2,1,2
R$ 2.500 /mês,R$ 900,"Rua Lauro Muller, Botafogo",72 m²,2,1,1
R$ 1.750 /mês,R$ 450,"Estrada Roberto Burle Marx, Guaratiba",70 m²,1,3,1
R$ 1.300 /mês,R$ 400,"Estrada do Quitungo, Penha",120 m²,3,1,2
R$ 2.200 /mês,R$ 893,"Rua Garibaldi, Tijuca",80 m²,2,1,2
R$ 700 /mês,R$ 430,"Rua Araguaia, Freguesia- Jacarepaguá",23 m²,0,1,1
R$ 1.900 /mês,R$ 830,"Rua Araújo Lima, Tijuca",92 m²,3,2,1
R$ 1.000 /mês,R$ 270,"Caminho do Veloso, Campo Grande",50 m²,2,0,1
R$ 1.800 /mês,R$ 598,"Rua Monsenhor Magaldi, Jardim Guanabara",70 m²,2,1,2
R$ 300 /mês,R$ 485,"Rua Carvalho de Souza, Madureira",20 m²,0,0,0
R$ 1.000 /mês,R$ 749,"Rua São Francisco Xavier, São Francisco Xavier",64 m²,2,1,3
R$ 25.000 /mês,R$ 4.932,"Rua Maba, Parada de Lucas",3000 m²,0,6,6
R$ 6.500 /mês,0,"Rua São Francisco Xavier, Maracanã",196 m²,1,0,3
R$ 1.700 /mês,R$ 946,"Rua Fábio Luz, Méier",119 m²,3,1,3
R$ 1.700 /mês,R$ 469,"Rua das Laranjeiras, Laranjeiras",47 m²,1,0,2
R$ 1.000 /mês,R$ 346,"Praça Seca, Rio de Janeiro",58 m²,2,1,1
R$ 4.500 /mês,R$ 100,"Estrada do Morro Cavado, Guaratiba",350 m²,5,2,6
R$ 1.870 /mês,R$ 150,"Rua Piauí, Todos os Santos",80 m²,2,1,2
